Date,Lloyds_Close
2017-07-19,68.08
2017-07-20,68.69
2017-07-21,68.11
2017-07-24,67.89
2017-07-25,69.0
2017-07-26,69.08
2017-07-27,67.5
2017-07-28,66.5
2017-07-31,65.58
2017-08-01,65.57
2017-08-02,65.56
2017-08-03,66.51
2017-08-04,66.81
2017-08-07,66.5
2017-08-08,67.26
2017-08-09,66.91
2017-08-10,64.83
2017-08-11,64.64
2017-08-14,64.86
2017-08-15,65.59
2017-08-16,65.35
2017-08-17,64.4
2017-08-18,63.91
2017-08-21,64.57
2017-08-22,65.04
2017-08-23,65.4
2017-08-24,64.73
2017-08-25,64.91
2017-08-29,63.85
2017-08-30,63.6
2017-08-31,63.82
2017-09-01,63.69
2017-09-04,63.4
2017-09-05,63.1
2017-09-06,63.05
2017-09-07,63.08
2017-09-08,63.77
2017-09-11,63.63
2017-09-12,64.84
2017-09-13,64.98
2017-09-14,66.4
2017-09-15,65.32
2017-09-18,65.3
2017-09-19,66.0
2017-09-20,65.71
2017-09-21,67.45
2017-09-22,66.91
2017-09-25,65.87
2017-09-26,64.99
2017-09-27,67.2
2017-09-28,67.22
2017-09-29,67.73
2017-10-02,67.5
2017-10-03,67.6
2017-10-04,67.6
2017-10-05,67.3
2017-10-06,66.6
2017-10-09,66.55
2017-10-10,67.1
2017-10-11,66.5
2017-10-12,66.3
2017-10-13,65.9
2017-10-16,65.59
2017-10-17,66.33
2017-10-18,66.83
2017-10-19,66.99
2017-10-20,67.0
2017-10-23,67.0
2017-10-24,67.4
2017-10-25,67.94
2017-10-26,68.93
2017-10-27,68.91
2017-10-30,68.07
2017-10-31,68.29
2017-11-01,68.63
2017-11-02,67.94
2017-11-03,67.39
2017-11-06,67.8
2017-11-07,67.3
2017-11-08,66.82
2017-11-09,66.68
2017-11-10,66.48
2017-11-13,66.43
2017-11-14,66.65
2017-11-15,66.25
2017-11-16,66.06
2017-11-17,65.99
2017-11-20,66.12
2017-11-21,65.72
2017-11-22,65.9
2017-11-23,65.72
2017-11-24,66.09
2017-11-27,65.49
2017-11-28,64.83
2017-11-29,67.1
2017-11-30,66.0
2017-12-01,64.75
2017-12-04,65.38
2017-12-05,65.15
2017-12-06,64.81
2017-12-07,64.51
2017-12-08,66.8
2017-12-11,66.64
2017-12-12,67.4
2017-12-13,67.36
2017-12-14,66.31
2017-12-15,66.41
2017-12-18,66.75
2017-12-19,67.15
2017-12-20,66.57
2017-12-21,67.31
2017-12-22,67.21
2017-12-27,67.78
2017-12-28,67.57
2017-12-29,68.06
2018-01-02,67.7
2018-01-03,67.47
2018-01-04,68.06
2018-01-05,68.07
2018-01-08,68.06
2018-01-09,68.4
2018-01-10,68.98
2018-01-11,69.83
2018-01-12,70.5
2018-01-15,70.6
2018-01-16,70.49
2018-01-17,70.43
2018-01-18,70.93
2018-01-19,71.48
2018-01-22,71.96
2018-01-23,72.12
2018-01-24,72.0
2018-01-25,71.25
2018-01-26,71.26
2018-01-29,71.55
2018-01-30,70.52
2018-01-31,69.51
2018-02-01,69.32
2018-02-02,68.75
2018-02-05,68.11
2018-02-06,66.17
2018-02-07,67.36
2018-02-08,67.6
2018-02-09,66.55
2018-02-12,66.47
2018-02-13,66.48
2018-02-14,66.65
2018-02-15,67.08
2018-02-16,67.73
2018-02-19,67.95
2018-02-20,67.85
2018-02-21,69.72
2018-02-22,69.18
2018-02-23,68.65
2018-02-26,68.55
2018-02-27,69.03
2018-02-28,68.8
2018-03-01,68.32
2018-03-02,67.0
2018-03-05,67.0
2018-03-06,66.56
2018-03-07,67.25
2018-03-08,67.5
2018-03-09,67.29
2018-03-12,67.5
2018-03-13,66.94
2018-03-14,66.69
2018-03-15,66.8
2018-03-16,67.5
2018-03-19,67.13
2018-03-20,67.87
2018-03-21,67.16
2018-03-22,66.06
2018-03-23,64.76
2018-03-26,64.64
2018-03-27,65.03
2018-03-28,64.91
2018-03-29,64.66
2018-04-03,65.13
2018-04-04,65.16
2018-04-05,66.18
2018-04-06,66.32
2018-04-09,66.65
2018-04-10,67.06
2018-04-11,67.01
2018-04-12,68.15
2018-04-13,68.15
2018-04-16,67.68
2018-04-17,67.66
2018-04-18,67.62
2018-04-19,66.09
2018-04-20,65.7
2018-04-23,66.44
2018-04-24,66.12
2018-04-25,65.0
2018-04-26,64.9
2018-04-27,64.79
2018-04-30,64.66
2018-05-01,64.34
2018-05-02,64.33
2018-05-03,64.68
2018-05-04,65.38
2018-05-08,65.88
2018-05-09,66.54
2018-05-10,66.86
2018-05-11,67.08
2018-05-14,66.67
2018-05-15,66.78
2018-05-16,65.69
2018-05-17,66.23
2018-05-18,66.03
2018-05-21,66.47
2018-05-22,67.02
2018-05-23,66.63
2018-05-24,66.0
2018-05-25,65.67
2018-05-29,64.29
2018-05-30,64.2
2018-05-31,63.21
2018-06-01,63.35
2018-06-04,63.59
2018-06-05,62.49
2018-06-06,63.68
2018-06-07,63.64
2018-06-08,62.9
2018-06-11,63.0
2018-06-12,63.17
2018-06-13,62.85
2018-06-14,63.13
2018-06-15,62.08
2018-06-18,61.57
2018-06-19,61.53
2018-06-20,61.67
2018-06-21,61.36
2018-06-22,62.12
2018-06-25,61.24
2018-06-26,61.42
2018-06-27,61.42
2018-06-28,62.55
2018-06-29,63.05
2018-07-02,62.31
2018-07-03,62.01
2018-07-04,62.3
2018-07-05,62.37
2018-07-06,62.49
2018-07-09,62.94
2018-07-10,62.5
2018-07-11,62.33
2018-07-12,62.56
2018-07-13,62.41
